Skateboard Sprite Map Metadata
==============================

Grid size: 118x118
Sprite dimensions: 64x64 pixels
Total sprites: 13824
Rotation increment: 15 degrees

Sprite positions (x_y_z -> row,column):
-----------------------------------
0.0_0.0_0.0 -> 0,0
0.0_0.0_15.0 -> 0,1
0.0_0.0_30.0 -> 0,2
0.0_0.0_45.0 -> 0,3
0.0_0.0_60.0 -> 0,4
0.0_0.0_75.0 -> 0,5
0.0_0.0_90.0 -> 0,6
0.0_0.0_105.0 -> 0,7
0.0_0.0_120.0 -> 0,8
0.0_0.0_135.0 -> 0,9
0.0_0.0_150.0 -> 0,10
0.0_0.0_165.0 -> 0,11
0.0_0.0_180.0 -> 0,12
0.0_0.0_195.0 -> 0,13
0.0_0.0_210.0 -> 0,14
0.0_0.0_225.0 -> 0,15
0.0_0.0_240.0 -> 0,16
0.0_0.0_255.0 -> 0,17
0.0_0.0_270.0 -> 0,18
0.0_0.0_285.0 -> 0,19
0.0_0.0_300.0 -> 0,20
0.0_0.0_315.0 -> 0,21
0.0_0.0_330.0 -> 0,22
0.0_0.0_345.0 -> 0,23
0.0_15.0_0.0 -> 0,24
0.0_15.0_15.0 -> 0,25
0.0_15.0_30.0 -> 0,26
0.0_15.0_45.0 -> 0,27
0.0_15.0_60.0 -> 0,28
0.0_15.0_75.0 -> 0,29
0.0_15.0_90.0 -> 0,30
0.0_15.0_105.0 -> 0,31
0.0_15.0_120.0 -> 0,32
0.0_15.0_135.0 -> 0,33
0.0_15.0_150.0 -> 0,34
0.0_15.0_165.0 -> 0,35
0.0_15.0_180.0 -> 0,36
0.0_15.0_195.0 -> 0,37
0.0_15.0_210.0 -> 0,38
0.0_15.0_225.0 -> 0,39
0.0_15.0_240.0 -> 0,40
0.0_15.0_255.0 -> 0,41
0.0_15.0_270.0 -> 0,42
0.0_15.0_285.0 -> 0,43
0.0_15.0_300.0 -> 0,44
0.0_15.0_315.0 -> 0,45
0.0_15.0_330.0 -> 0,46
0.0_15.0_345.0 -> 0,47
0.0_30.0_0.0 -> 0,48
0.0_30.0_15.0 -> 0,49
0.0_30.0_30.0 -> 0,50
0.0_30.0_45.0 -> 0,51
0.0_30.0_60.0 -> 0,52
0.0_30.0_75.0 -> 0,53
0.0_30.0_90.0 -> 0,54
0.0_30.0_105.0 -> 0,55
0.0_30.0_120.0 -> 0,56
0.0_30.0_135.0 -> 0,57
0.0_30.0_150.0 -> 0,58
